Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type,Fixed_OM_Cost_per_MWyr,gen_scheduled_outage_rate,Max_Cap_MW,Inv_Cost_per_MWyr
MD1_distributed_generation_1,5,0,0,82.0,MD1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2010639106327462,Solar,0.0,Solar,0.0,0.0,0.0,0.0
MD2_distributed_generation_1,6,0,0,1044.0,MD2,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2052759132420091,Solar,0.0,Solar,0.0,0.0,0.0,0.0
MI_distributed_generation_1,7,0,0,8.0,MI,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2033367906066536,Solar,0.0,Solar,0.0,0.0,0.0,0.0
NJ1_distributed_generation_1,8,0,0,2431.0,NJ1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2013327951728636,Solar,0.0,Solar,0.0,0.0,0.0,0.0
OH1_distributed_generation_1,9,0,0,96.0,OH1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2054725538160469,Solar,0.0,Solar,0.0,0.0,0.0,0.0
OH2_distributed_generation_1,10,0,0,95.0,OH2,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2248567514677103,Solar,0.0,Solar,0.0,0.0,0.0,0.0
OH3_distributed_generation_1,11,0,0,19.0,OH3,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2050229615133724,Solar,0.0,Solar,0.0,0.0,0.0,0.0
OH4_distributed_generation_1,12,0,0,25.0,OH4,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2106440313111546,Solar,0.0,Solar,0.0,0.0,0.0,0.0
PA1_distributed_generation_1,13,0,0,186.0,PA1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2014165362035225,Solar,0.0,Solar,0.0,0.0,0.0,0.0
PA2_distributed_generation_1,14,0,0,7.0,PA2,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.1904511904761905,Solar,0.0,Solar,0.0,0.0,0.0,0.0
PA3_distributed_generation_1,15,0,0,5.0,PA3,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.1733534735812133,Solar,0.0,Solar,0.0,0.0,0.0,0.0
PA4_distributed_generation_1,16,0,0,497.0,PA4,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2119421395955642,Solar,0.0,Solar,0.0,0.0,0.0,0.0
VA1_distributed_generation_1,17,0,0,9.0,VA1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2018484833659491,Solar,0.0,Solar,0.0,0.0,0.0,0.0
VA2_distributed_generation_1,18,0,0,263.0,VA2,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2095448467058056,Solar,0.0,Solar,0.0,0.0,0.0,0.0
VA3_distributed_generation_1,19,0,0,13.0,VA3,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2110874266144813,Solar,0.0,Solar,0.0,0.0,0.0,0.0
VA4_distributed_generation_1,20,0,0,0.0,VA4,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.181887915851272,Solar,0.0,Solar,0.0,0.0,0.0,0.0
WV1_distributed_generation_1,21,0,0,11.0,WV1,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2063985649054142,Solar,0.0,Solar,0.0,0.0,0.0,0.0
WV2_distributed_generation_1,22,0,0,9.0,WV2,distributed_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.193991992824527,Solar,0.0,Solar,0.0,0.0,0.0,0.0
IL1_conventional_hydroelectric_1,2,0,0,28.5,IL1,Conventional Hydroelectric,1,1.58,0.0,8.84,18.0,0.367,0.181,1.0,1.583,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
KY3_conventional_hydroelectric_1,3,0,0,308.1,KY3,Conventional Hydroelectric,1,9.34,0.0,8.84,33.0,0.0,0.134,1.0,9.336,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
KY4_conventional_hydroelectric_1,4,0,0,87.9,KY4,Conventional Hydroelectric,1,29.3,0.0,8.84,3.0,0.0,0.0,1.0,29.3,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
MD1_conventional_hydroelectric_1,5,0,0,18.0,MD1,Conventional Hydroelectric,1,9.0,0.0,8.84,2.0,0.0,0.0,1.0,9.0,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
MD2_conventional_hydroelectric_1,6,0,0,572.0,MD2,Conventional Hydroelectric,1,52.0,0.0,8.84,11.0,0.0,0.0,1.0,52.0,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
MI_conventional_hydroelectric_1,7,0,0,9.4,MI,Conventional Hydroelectric,1,0.25,0.0,8.84,38.0,0.0,0.0,1.0,0.247,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
NJ1_conventional_hydroelectric_1,8,0,0,9.9,NJ1,Conventional Hydroelectric,1,3.3,0.0,8.84,3.0,0.367,0.196,1.0,3.3,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
OH2_conventional_hydroelectric_1,10,0,0,100.7,OH2,Conventional Hydroelectric,1,9.15,0.0,8.84,11.0,0.0,0.138,1.0,9.155,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
OH4_conventional_hydroelectric_1,12,0,0,2.0,OH4,Conventional Hydroelectric,1,1.0,0.0,8.84,2.0,0.0,0.0,1.0,1.0,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
PA1_conventional_hydroelectric_1,13,0,0,225.9,PA1,Conventional Hydroelectric,1,5.79,0.0,8.84,39.0,0.0,0.058,1.0,5.792,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
PA4_conventional_hydroelectric_1,16,0,0,827.2,PA4,Conventional Hydroelectric,1,19.24,0.0,8.84,43.0,0.0,0.001,1.0,19.237,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
VA1_conventional_hydroelectric_1,17,0,0,183.9,VA1,Conventional Hydroelectric,1,5.11,0.0,8.84,36.0,0.007,0.157,1.0,5.108,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
VA2_conventional_hydroelectric_1,18,0,0,707.1,VA2,Conventional Hydroelectric,1,30.74,0.0,8.84,23.0,0.0,0.001,1.0,30.743,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
VA3_conventional_hydroelectric_1,19,0,0,3.1,VA3,Conventional Hydroelectric,1,0.52,0.0,8.84,6.0,0.0,0.0,1.0,0.517,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
WV1_conventional_hydroelectric_1,21,0,0,199.9,WV1,Conventional Hydroelectric,1,8.69,0.0,8.84,23.0,0.0,0.0,1.0,8.691,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
WV2_conventional_hydroelectric_1,22,0,0,53.1,WV2,Conventional Hydroelectric,1,5.9,0.0,8.84,9.0,0.367,0.186,1.0,5.9,1,0.0,Water,0.0,Hydro,44560.0,0.0,0.0,0.0
