Derating_factor_5,Derating_factor_7,Derating_factor_4,Derating_factor_2,Derating_factor_6,Derating_factor_1,Derating_factor_3,Resource
0.74,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_fired_combined_cycle_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_fired_combined_cycle_2
0.6,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_fired_combustion_turbine_1
0.74,0.0,0.0,0.0,0.0,0.0,0.0,PA4_natural_gas_steam_turbine_1
0.95,0.0,0.0,0.0,0.0,0.0,0.0,PA4_nuclear_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA4_onshore_wind_turbine_1
0.78,0.0,0.0,0.0,0.0,0.0,0.0,PA4_petroleum_liquids_1
0.8,0.0,0.0,0.0,0.0,0.0,0.0,PA4_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.5,VA1_biomass_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,VA1_conventional_hydroelectric_1
0.0,0.0,0.0,0.0,0.0,0.0,0.83,VA1_conventional_steam_coal_1
0.0,0.0,0.0,0.0,0.0,0.0,0.6,VA1_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.74,VA1_natural_gas_steam_turbine_1
0.0,0.0,0.0,0.0,0.0,0.0,0.78,VA1_petroleum_liquids_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,VA1_solar_photovoltaic_1
0.0,0.0,0.95,0.0,0.0,0.0,0.0,VA2_batteries_1
0.0,0.0,0.5,0.0,0.0,0.0,0.0,VA2_biomass_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA2_conventional_hydroelectric_1
0.0,0.0,0.83,0.0,0.0,0.0,0.0,VA2_conventional_steam_coal_1
0.0,0.0,0.95,0.0,0.0,0.0,0.0,VA2_hydroelectric_pumped_storage_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,VA2_natural_gas_fired_combined_cycle_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,VA2_natural_gas_fired_combined_cycle_2
0.0,0.0,0.6,0.0,0.0,0.0,0.0,VA2_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,VA2_natural_gas_steam_turbine_1
0.0,0.0,0.95,0.0,0.0,0.0,0.0,VA2_nuclear_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA2_offshore_wind_turbine_1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,VA2_petroleum_liquids_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA2_solar_photovoltaic_1
0.0,0.0,0.5,0.0,0.0,0.0,0.0,VA3_biomass_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA3_conventional_hydroelectric_1
0.0,0.0,0.74,0.0,0.0,0.0,0.0,VA3_natural_gas_fired_combined_cycle_1
0.0,0.0,0.6,0.0,0.0,0.0,0.0,VA3_natural_gas_fired_combustion_turbine_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA3_solar_photovoltaic_1
0.0,0.0,0.78,0.0,0.0,0.0,0.0,VA4_petroleum_liquids_1
0.0,0.0,0.8,0.0,0.0,0.0,0.0,VA4_solar_photovoltaic_1
0.0,0.0,0.0,0.0,0.0,0.0,0.95,WV1_batteries_1
0.0,0.0,0.0,0.0,0.0,0.0,0.8,WV1_conventional_hydroelectric_1
