Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
OH3_petroleum_liquids_1,11,0,0,60.5,OH3,Petroleum Liquids,1,5.5,4.455,21.88,0,0.0,0.18,11.0,0.105,7.582,0.0,1.0,5.5,0.0,east_north_central_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
OH4_conventional_steam_coal_1,12,0,0,1020.0,OH4,Conventional Steam Coal,1,510.0,200.0,10.35,56967,1.78,0.5,2.0,0.189,0.267,267.286,1.0,510.0,16.5,east_north_central_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
OH4_natural_gas_fired_combined_cycle_1,12,0,0,0.0,OH4,Natural Gas Fired Combined Cycle,1,1.0,0.0,6.41,15620,4.31,0.3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,east_north_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
OH4_natural_gas_fired_combined_cycle_2,12,0,0,504.9,OH4,Natural Gas Fired Combined Cycle,2,504.9,111.8,6.72,9270,3.42,0.3,1.0,0.0,0.0,0.0,1.0,504.9,2.0,east_north_central_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
OH4_natural_gas_fired_combustion_turbine_1,12,0,0,1488.3,OH4,Natural Gas Fired Combustion Turbine,1,74.42,23.6,15.55,11262,0.0,0.3,20.0,5.098,5.465,1310.735,1.0,74.415,3.5,east_north_central_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
OH4_petroleum_liquids_1,12,0,0,80.0,OH4,Petroleum Liquids,1,20.0,3.0,29.87,0,0.0,0.18,4.0,20.663,11.045,0.0,1.0,20.0,0.0,east_north_central_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
PA1_conventional_steam_coal_1,13,0,0,1700.0,PA1,Conventional Steam Coal,1,850.0,350.0,10.33,58101,1.78,0.5,2.0,0.183,0.258,89.095,1.0,850.0,16.5,middle_atlantic_coal,110.0,0.57,0.57,24,24,0.095,0.19,Coal,True,0.0,0.0,Coal,1
PA1_natural_gas_fired_combined_cycle_1,13,0,0,269.4,PA1,Natural Gas Fired Combined Cycle,1,269.4,122.0,13.48,15620,4.31,0.3,1.0,0.0,0.0,0.0,1.0,269.4,2.0,middle_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA1_natural_gas_fired_combined_cycle_2,13,0,0,2912.4,PA1,Natural Gas Fired Combined Cycle,2,728.1,330.75,6.79,10123,3.4,0.3,4.0,0.342,0.236,3117.78,1.0,728.1,2.0,middle_atlantic_naturalgas,88.0,0.64,0.64,6,6,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA1_natural_gas_fired_combustion_turbine_1,13,0,0,1011.3,PA1,Natural Gas Fired Combustion Turbine,1,112.37,46.333,10.59,11661,0.0,0.3,9.0,0.134,0.365,2118.726,1.0,112.367,3.5,middle_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA1_nuclear_1,13,0,0,1872.0,PA1,Nuclear,1,936.0,93.5,10.34,177000,0.0,0.5,2.0,0.0,0.0,0.0,1.0,936.0,0.0,middle_atlantic_uranium,0.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.0,0.0,Nuclear,1
PA1_petroleum_liquids_1,13,0,0,26.2,PA1,Petroleum Liquids,1,5.24,5.24,11.24,0,0.0,0.18,5.0,1.131,1.017,0.0,1.0,5.24,0.0,middle_atlantic_distillate,0.0,3.78,3.78,1,1,0.0,0.0,Diesel,False,0.0,0.0,Petroleum,1
PA2_natural_gas_fired_combustion_turbine_1,14,0,0,0.0,PA2,Natural Gas Fired Combustion Turbine,1,1.0,0.0,9.66,14960,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,3.5,middle_atlantic_naturalgas,62.0,3.78,3.78,1,1,0.106666667,0.213333333,Naturalgas,False,0.0,0.0,Naturalgas,1
PA2_natural_gas_steam_turbine_1,14,0,0,0.0,PA2,Natural Gas Steam Turbine,1,1.0,0.0,9.21,48590,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,13.7,middle_atlantic_naturalgas,78.0,0.64,0.64,6,6,0.63,1.26,Naturalgas,False,0.0,0.0,Naturalgas,1
