Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
,,,,,,,,24,534.172573,4586.657997,5952.901498,2314.481464,248.7266766,287.4990026,2955.343463,4780.178801,15708.82734,3697.036222,6033.489376,990.4187255,2299.796976,2909.226028,649.4837004,1062.178996,1380.327707,161.7189127,95.82513211,4888.175379,28235.14186,1004.033056,7458.673965,237.4950408,47.10654497,808.2230439,638.8932143,43.8368
,,,,,,,,25,536.9532786,4617.114096,5759.801194,2341.335083,251.64939,289.2026582,2974.607508,4862.509637,15881.16501,3715.767067,5955.753994,977.6540554,2345.343063,2967.006787,662.3553497,1083.206115,1406.955445,164.8524153,97.6863932,4982.422272,27998.38992,1014.289007,7712.807948,245.5899943,48.71901676,827.966656,654.4974493,43.4768
,,,,,,,,26,531.5520295,4575.541844,5466.32309,2322.278607,249.6385847,285.6713025,2942.874239,4829.425704,15686.09754,3671.155347,5776.987687,948.3019138,2351.758974,2975.325458,664.1672814,1086.164094,1413.299687,165.5966719,98.12828667,5004.81351,27119.28736,1007.868336,7815.103839,248.8542383,49.38538064,834.9472035,660.0180935,43.5668
,,,,,,,,27,536.0913693,4573.353841,5341.480747,2335.24377,251.063134,287.827758,2969.354344,4838.592222,15678.66222,3691.185102,5714.262516,938.0141176,2390.614681,3024.65455,675.1539062,1104.10928,1439.314513,168.6580556,99.94254421,5096.865286,26773.74051,1020.004063,8000.331934,254.7445054,50.56197913,852.6885532,674.0507936,43.6568
,,,,,,,,28,550.9819047,4634.580741,5333.603145,2381.288933,256.0512962,296.2982131,3060.806571,4901.999306,15859.57794,3784.316127,5746.975212,943.3839393,2469.100674,3124.117652,697.3162043,1140.353841,1492.137153,174.8455063,103.6086082,5283.877998,26908.45372,1053.082983,8279.501889,263.6378092,52.32455546,884.3167354,699.0621402,43.7468
,,,,,,,,29,582.6337014,4772.727559,5421.477542,2473.083815,265.9694521,315.6202561,3264.796419,5035.514464,16286.95581,3992.819441,5880.460811,965.2951392,2612.8845,3306.287604,737.9203432,1206.765783,1592.180304,186.5572435,110.5496634,5638.112299,27435.15746,1120.65889,8713.670387,277.462358,55.05255815,941.1364028,743.9919091,43.7468
,,,,,,,,30,603.6098399,4768.658679,5368.798272,2497.396148,268.648872,329.2231743,3409.65813,4998.521216,16181.5724,4120.820901,5864.85675,962.7387811,2692.897194,3407.840168,760.5080196,1243.727588,1659.59092,194.4437037,115.2161138,5876.776134,27114.51596,1167.277604,8859.559816,282.1088246,55.97713169,976.8271449,772.2103461,43.4768
,,,,,,,,31,617.0072974,4758.220497,5430.740091,2494.370467,268.3353958,334.6270563,3467.703056,4938.778712,15984.20514,4216.470857,5950.932598,976.8655829,2710.438743,3430.115958,765.449228,1251.831044,1685.360607,197.451326,116.9904713,5968.096402,26928.02402,1185.934149,8778.156938,279.5013019,55.43878175,984.5851762,778.3489277,43.2968
,,,,,,,,32,617.9346094,4731.98792,5741.345587,2467.667188,265.4208092,332.8017888,3448.741802,4937.736366,15821.64936,4237.986315,6156.893442,1010.673486,2672.033309,3381.167376,754.5997167,1234.111473,1661.936235,194.7028421,115.3615427,5885.239543,27123.73653,1176.965101,8534.254823,271.7391358,53.8835635,962.5120146,760.8979488,43.026802
,,,,,,,,33,615.9633312,4734.953342,6007.286463,2444.694392,262.9039569,330.887433,3424.873454,4961.190439,15841.23586,4225.798482,6297.143739,1033.695042,2621.302247,3316.747595,740.2687617,1210.678865,1629.637209,190.9074951,113.1145895,5770.957559,27313.74156,1164.141643,8303.353809,264.3788753,52.43905517,939.2119712,742.4726729,43.5668
