Resource,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
PA1_natural_gas_fired_combined_cycle_2,20,20,0,0,0
PA1_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
PA1_nuclear_1,20,20,0,0,0
PA1_onshore_wind_turbine_1,20,20,0,0,0
PA1_petroleum_liquids_1,20,20,0,0,0
PA1_solar_photovoltaic_1,20,20,0,0,0
PA2_biomass_1,20,20,0,0,0
PA2_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
PA2_natural_gas_steam_turbine_1,20,20,0,0,0
PA2_onshore_wind_turbine_1,20,20,0,0,0
PA2_solar_photovoltaic_1,20,20,0,0,0
PA3_biomass_1,20,20,0,0,0
PA3_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
PA3_solar_photovoltaic_1,20,20,0,0,0
PA4_batteries_1,20,20,0,0,0
PA4_biomass_1,20,20,0,0,0
PA4_conventional_hydroelectric_1,20,20,0,0,0
PA4_conventional_steam_coal_1,20,20,0,0,0
PA4_hydroelectric_pumped_storage_1,20,20,0,0,0
PA4_natural_gas_fired_combined_cycle_1,20,20,0,0,0
PA4_natural_gas_fired_combined_cycle_2,20,20,0,0,0
PA4_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
PA4_natural_gas_steam_turbine_1,20,20,0,0,0
PA4_nuclear_1,20,20,0,0,0
PA4_onshore_wind_turbine_1,20,20,0,0,0
PA4_petroleum_liquids_1,20,20,0,0,0
PA4_solar_photovoltaic_1,20,20,0,0,0
VA1_biomass_1,20,20,0,0,0
VA1_conventional_hydroelectric_1,20,20,0,0,0
VA1_conventional_steam_coal_1,20,20,0,0,0
VA1_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
VA1_natural_gas_steam_turbine_1,20,20,0,0,0
VA1_petroleum_liquids_1,20,20,0,0,0
VA1_solar_photovoltaic_1,20,20,0,0,0
VA2_batteries_1,20,20,0,0,0
VA2_biomass_1,20,20,0,0,0
VA2_conventional_hydroelectric_1,20,20,0,0,0
VA2_conventional_steam_coal_1,20,20,0,0,0
VA2_hydroelectric_pumped_storage_1,20,20,0,0,0
VA2_natural_gas_fired_combined_cycle_1,20,20,0,0,0
VA2_natural_gas_fired_combined_cycle_2,20,20,0,0,0
VA2_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
VA2_natural_gas_steam_turbine_1,20,20,0,0,0
VA2_nuclear_1,20,20,0,0,0
VA2_offshore_wind_turbine_1,20,20,0,0,0
VA2_petroleum_liquids_1,20,20,0,0,0
VA2_solar_photovoltaic_1,20,20,0,0,0
VA3_biomass_1,20,20,0,0,0
VA3_conventional_hydroelectric_1,20,20,0,0,0
VA3_natural_gas_fired_combined_cycle_1,20,20,0,0,0
VA3_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
VA3_solar_photovoltaic_1,20,20,0,0,0
VA4_petroleum_liquids_1,20,20,0,0,0
VA4_solar_photovoltaic_1,20,20,0,0,0
WV1_batteries_1,20,20,0,0,0
WV1_conventional_hydroelectric_1,20,20,0,0,0
WV1_conventional_steam_coal_1,20,20,0,0,0
WV1_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
WV1_onshore_wind_turbine_1,20,20,0,0,0
WV1_petroleum_liquids_1,20,20,0,0,0
WV1_solar_photovoltaic_1,20,20,0,0,0
WV2_biomass_1,20,20,0,0,0
WV2_conventional_hydroelectric_1,20,20,0,0,0
WV2_conventional_steam_coal_1,20,20,0,0,0
WV2_natural_gas_fired_combustion_turbine_1,20,20,0,0,0
DE1_distributed_generation_1,20,20,0,0,0
IL1_distributed_generation_1,20,20,0,0,0
KY3_distributed_generation_1,20,20,0,0,0
KY4_distributed_generation_1,20,20,0,0,0
MD1_distributed_generation_1,20,20,0,0,0
MD2_distributed_generation_1,20,20,0,0,0
MI_distributed_generation_1,20,20,0,0,0
NJ1_distributed_generation_1,20,20,0,0,0
OH1_distributed_generation_1,20,20,0,0,0
OH2_distributed_generation_1,20,20,0,0,0
OH3_distributed_generation_1,20,20,0,0,0
OH4_distributed_generation_1,20,20,0,0,0
PA1_distributed_generation_1,20,20,0,0,0
PA2_distributed_generation_1,20,20,0,0,0
PA3_distributed_generation_1,20,20,0,0,0
PA4_distributed_generation_1,20,20,0,0,0
VA1_distributed_generation_1,20,20,0,0,0
VA2_distributed_generation_1,20,20,0,0,0
VA3_distributed_generation_1,20,20,0,0,0
VA4_distributed_generation_1,20,20,0,0,0
WV1_distributed_generation_1,20,20,0,0,0
WV2_distributed_generation_1,20,20,0,0,0
