,pjm_avg,day,thi
51790,0.0,2157,50.9234
51791,0.0,2157,48.4034
51792,0.0,2158,46.873398
51793,0.0,2158,45.8834
51794,0.0,2158,45.0734
51795,0.0,2158,44.4434
51796,0.0,2158,43.9034
51797,0.0,2158,43.5434
51798,0.0,2158,43.1834
51799,0.001646,2158,42.1034
51800,0.141,2158,41.9234
51801,0.4155,2158,41.7434
51802,0.498,2158,41.5634
51803,0.4768,2158,41.2934
51804,0.4434,2158,41.1134
51805,0.4592,2158,41.2034
51806,0.4905,2158,42.0134
51807,0.4546,2158,43.0934
51808,0.2224,2158,44.0834
51809,0.004726,2158,44.9726
51810,0.0,2158,46.772602
51811,0.0,2158,48.3026
51812,0.0,2158,48.4826
51813,0.0,2158,46.9526
51814,0.0,2158,44.623398
51815,0.0,2158,43.8134
51816,0.0,2159,43.0934
51817,0.0,2159,42.373398
51818,0.0,2159,41.2934
51819,0.0,2159,39.9434
51820,0.0,2159,38.5934
51821,0.0,2159,37.9634
51822,0.0,2159,36.9734
51823,0.001415,2159,37.6034
51824,0.10486,2159,36.7934
51825,0.301,2159,36.2534
51826,0.382,2159,35.2634
51827,0.3745,2159,33.1034
51828,0.363,2159,32.3834
51829,0.3704,2159,34.9934
51830,0.383,2159,40.7534
51831,0.344,2159,44.3534
51832,0.1627,2159,46.5134
51833,0.006973,2159,48.2522
51834,0.0,2159,50.5022
51835,0.0,2159,51.312202
51836,0.0,2159,51.9422
51837,0.0,2159,50.7722
51838,0.0,2159,48.5222
51839,0.0,2159,45.3722
51840,0.0,2160,43.6334
51841,0.0,2160,42.9134
51842,0.0,2160,42.2834
51843,0.0,2160,41.9
51844,0.0,2160,41.2034
51845,0.0,2160,40.82
51846,0.0,2160,41.09
51847,0.0009203,2160,41.45
51848,0.0917,2160,40.28
51849,0.2576,2160,40.370003
51850,0.3188,2160,40.190002
51851,0.3198,2160,39.920002
51852,0.3235,2160,39.829998
51853,0.3389,2160,39.920002
51854,0.3623,2160,42.373398
51855,0.333,2160,46.992203
51856,0.1631,2160,51.2222
51857,0.003784,2160,53.9222
51858,0.0,2160,56.147
51859,0.0,2160,58.026683626515
51860,0.0,2160,58.283813102605
51861,0.0,2160,57.226997
51862,0.0,2160,53.6522
51863,0.0,2160,50.4122
51864,0.0,2161,47.8022
51865,0.0,2161,46.4234
51866,0.0,2161,45.9734
51867,0.0,2161,45.2534
51868,0.0,2161,44.5334
51869,0.0,2161,43.8134
51870,0.0,2161,43.2734
51871,0.000657,2161,43.3022
51872,0.0472,2161,43.0817
51873,0.153,2161,43.1717
51874,0.2108,2161,43.6217
51875,0.2114,2161,43.9817
51876,0.2108,2161,44.341698
51877,0.2114,2161,45.3317
51878,0.2122,2161,48.3917
51879,0.1865,2161,52.7819
51880,0.08417,2161,56.2622
51881,0.002586,2161,59.3421568100278
51882,0.0,2161,60.650555488885
51883,0.0,2161,61.4405918111474
51884,0.0,2161,62.2482337442675
51885,0.0,2161,61.780791776604005
51886,0.0,2161,59.3816991947075
51887,0.0,2161,56.57
51888,0.0,2162,56.4215
51889,0.0,2162,56.4215
51890,0.0,2162,56.4215
51891,0.0,2162,56.601498
51892,0.0,2162,56.9615
51893,0.0,2162,57.0515
51894,0.0,2162,56.9615
