date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.4924,18
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.512,19
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.5376,20
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.573,21
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.6074,22
2007-01-07,winter,52.8134,"(50.0, 55.0]",0.6426,23
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.664,0
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.689,1
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.7173,2
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.744,3
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.767,4
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.79,5
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8164,6
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8384,7
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8413,8
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8013,9
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.788,10
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.7974,11
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.81,12
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.835,13
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.857,14
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.862,15
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8457,16
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.852,17
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.899,18
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8965,19
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.886,20
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8716,21
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8535,22
2007-01-08,winter,53.8034,"(50.0, 55.0]",0.8345,23
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8076,0
