date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8647,17
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.8735,18
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.862,19
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.867,20
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.9,21
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.932,22
2007-01-09,winter,39.7634,"(35.0, 40.0]",0.9585,23
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.952,0
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.9375,1
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.904,2
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.867,3
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.8135,4
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.772,5
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.735,6
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.7104,7
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.6895,8
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.6553,9
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.62,10
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.597,11
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.586,12
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.579,13
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.5815,14
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.6045,15
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.642,16
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.6865,17
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.726,18
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.7393,19
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.732,20
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.733,21
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.7275,22
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.7134,23
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.6855,0
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.6675,1
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.6455,2
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.612,3
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.57,4
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.544,5
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.523,6
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5005,7
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4805,8
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.464,9
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4517,10
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4348,11
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4226,12
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.412,13
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4082,14
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4094,15
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4126,16
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.425,17
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4438,18
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4663,19
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.4941,20
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5225,21
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5386,22
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5474,23
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5537,0
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5625,1
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5713,2
2007-01-12,winter,46.877,"(45.0, 50.0]",0.585,3
2007-01-12,winter,46.877,"(45.0, 50.0]",0.59,4
2007-01-12,winter,46.877,"(45.0, 50.0]",0.586,5
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5747,6
2007-01-12,winter,46.877,"(45.0, 50.0]",0.552,7
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5176,8
2007-01-12,winter,46.877,"(45.0, 50.0]",0.4922,9
2007-01-12,winter,46.877,"(45.0, 50.0]",0.4712,10
2007-01-12,winter,46.877,"(45.0, 50.0]",0.4595,11
2007-01-12,winter,46.877,"(45.0, 50.0]",0.4497,12
2007-01-12,winter,46.877,"(45.0, 50.0]",0.4585,13
2007-01-12,winter,46.877,"(45.0, 50.0]",0.476,14
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5,15
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5254,16
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5596,17
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5986,18
2007-01-12,winter,46.877,"(45.0, 50.0]",0.646,19
2007-01-12,winter,46.877,"(45.0, 50.0]",0.677,20
2007-01-12,winter,46.877,"(45.0, 50.0]",0.6914,21
2007-01-12,winter,46.877,"(45.0, 50.0]",0.6973,22
2007-01-12,winter,46.877,"(45.0, 50.0]",0.688,23
2007-01-13,winter,53.807,"(50.0, 55.0]",0.6797,0
2007-01-13,winter,53.807,"(50.0, 55.0]",0.6377,1
2007-01-13,winter,53.807,"(50.0, 55.0]",0.6436,2
2007-01-13,winter,53.807,"(50.0, 55.0]",0.63,3
2007-01-13,winter,53.807,"(50.0, 55.0]",0.6104,4
2007-01-13,winter,53.807,"(50.0, 55.0]",0.589,5
2007-01-13,winter,53.807,"(50.0, 55.0]",0.5757,6
2007-01-13,winter,53.807,"(50.0, 55.0]",0.5596,7
2007-01-13,winter,53.807,"(50.0, 55.0]",0.54,8
2007-01-13,winter,53.807,"(50.0, 55.0]",0.5146,9
2007-01-13,winter,53.807,"(50.0, 55.0]",0.4875,10
2007-01-13,winter,53.807,"(50.0, 55.0]",0.4648,11
2007-01-13,winter,53.807,"(50.0, 55.0]",0.4434,12
2007-01-13,winter,53.807,"(50.0, 55.0]",0.4302,13
2007-01-13,winter,53.807,"(50.0, 55.0]",0.4204,14
2007-01-13,winter,53.807,"(50.0, 55.0]",0.407,15
2007-01-13,winter,53.807,"(50.0, 55.0]",0.401,16
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3818,17
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3708,18
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3616,19
2007-01-13,winter,53.807,"(50.0, 55.0]",0.349,20
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3398,21
2007-01-13,winter,53.807,"(50.0, 55.0]",0.342,22
2007-01-13,winter,53.807,"(50.0, 55.0]",0.3315,23
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3188,0
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3086,1
2007-01-14,winter,56.03,"(55.0, 60.0]",0.299,2
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2854,3
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2754,4
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2654,5
2007-01-14,winter,56.03,"(55.0, 60.0]",0.266,6
2007-01-14,winter,56.03,"(55.0, 60.0]",0.276,7
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2847,8
2007-01-14,winter,56.03,"(55.0, 60.0]",0.281,9
2007-01-14,winter,56.03,"(55.0, 60.0]",0.277,10
2007-01-14,winter,56.03,"(55.0, 60.0]",0.269,11
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2517,12
2007-01-14,winter,56.03,"(55.0, 60.0]",0.237,13
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2448,14
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2666,15
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2798,16
2007-01-14,winter,56.03,"(55.0, 60.0]",0.2996,17
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3247,18
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3425,19
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3625,20
2007-01-14,winter,56.03,"(55.0, 60.0]",0.3818,21
2007-01-14,winter,56.03,"(55.0, 60.0]",0.4055,22
2007-01-14,winter,56.03,"(55.0, 60.0]",0.4282,23
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.4563,0
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.505,1
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.5347,2
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.5625,3
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.569,4
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.5767,5
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6045,6
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6274,7
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6455,8
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6562,9
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.6826,10
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.689,11
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.685,12
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.681,13
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.697,14
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.7163,15
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.7407,16
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.7764,17
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.7876,18
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.784,19
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.789,20
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.7856,21
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.782,22
2007-01-15,winter,57.7634,"(55.0, 60.0]",0.787,23
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7744,0
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7686,1
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7695,2
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.764,3
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.756,4
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7407,5
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.707,6
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7046,7
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6865,8
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6553,9
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6084,10
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.578,11
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5576,12
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.5557,13
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.585,14
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6143,15
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.6504,16
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.685,17
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7197,18
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7417,19
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7686,20
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7607,21
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.745,22
2007-01-16,winter,47.6834,"(45.0, 50.0]",0.7275,23
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.715,0
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.703,1
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.6865,2
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.6924,3
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.705,4
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.728,5
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.754,6
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.7803,7
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.7925,8
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.796,9
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.776,10
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.734,11
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.6963,12
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.657,13
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.631,14
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.616,15
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.604,16
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.595,17
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.602,18
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.605,19
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.607,20
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.608,21
2007-01-17,winter,32.9234,"(30.0, 35.0]",0.6094,22
